t_us,ax,ay,az,gx,gy,gz,mX_uT,mY_uT,mZ_uT,mag_valid,gnss_valid,N_m,E_m,D_m,V_N_mps,V_E_mps,V_D_mps,iTOW_ms
0,-0.012258,-0.024516,9.8064,0.9983116,0.0994821,0.4974105,29.375,-2.9,-15.925,1,1,0.0133536575628561,0.144969935003853,0.0874886633828282,0.046543371974596,0.197414727760174,-0.0200747505702085,0
1000,-1.005156,0.196128,19.833444,0.9983116,0.104718,0.4991558,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,-1.029672,0.220644,19.808928,0.9965663,0.1029727,0.4974105,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,-0.992898,0.232902,19.808928,1.0035475,0.104718,0.4991558,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,-1.017414,0.24516,19.79667,1.0000569,0.0977368,0.4991558,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,-1.005156,0.24516,19.821186,0.9983116,0.1012274,0.4974105,31.575,-4.775,-16.075,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,-1.005156,0.257418,19.808928,1.0000569,0.1012274,0.4974105,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,-1.005156,0.257418,19.808928,0.9965663,0.1012274,0.4991558,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8000,-0.992898,0.269676,19.833444,0.9965663,0.1012274,0.4991558,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9000,-0.992898,0.269676,19.808928,1.0018022,0.0994821,0.4974105,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10000,-1.005156,0.318708,19.79667,1.0035475,0.1029727,0.4956652,27.675,-4.8,-16.95,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
