time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0,0,0,0,1.570796,5.528015,0,0,0
0.01,-5.764371e-13,0,0.000924841,1.570796,5.528084,0,0,4.379809e-13
0.02,-1.170499e-12,0,0.003699558,1.570796,5.528153,0,0,6.557015e-16
0.03,-1.764514e-12,0,0.00832444,1.570796,5.528223,0,0,3.136795e-16
0.04,-2.35846e-12,0,0.01479978,1.570796,5.528292,0,0,4.166394e-16
0.05,-2.952337e-12,0,0.02312586,1.570796,5.528361,0,0,5.19978e-16
0.06,-3.546143e-12,0,0.03330298,1.570796,5.52843,0,0,6.235171e-16
0.07,-4.139878e-12,0,0.04533143,1.570796,5.528499,0,0,7.271748e-16
0.08,-4.73354e-12,0,0.05921148,1.570796,5.528568,0,0,8.309101e-16
0.09,-5.327128e-12,0,0.07494345,1.570796,5.528637,0,0,9.346999e-16
0.1,-5.920642e-12,0,0.0925276,1.570796,5.528706,0,0,1.03853e-15
0.11,-6.514079e-12,0,0.1119642,1.570796,5.528775,0,0,1.14239e-15
0.12,-7.107439e-12,0,0.1332536,1.570796,5.528844,0,0,1.246276e-15
0.13,-7.700721e-12,0,0.1563961,1.570796,5.528913,0,0,1.350181e-15
0.14,-8.293924e-12,0,0.1813919,1.570796,5.528982,0,0,1.454103e-15
0.15,-8.887046e-12,0,0.2082413,1.570796,5.529051,0,0,1.558039e-15
0.16,-9.480086e-12,0,0.2369447,1.570796,5.52912,0,0,1.661986e-15
0.17,-1.007304e-11,0,0.2675023,1.570796,5.529189,0,0,1.765943e-15
0.18,-1.066592e-11,0,0.2999143,1.570796,5.529258,0,0,1.869908e-15
0.19,-1.125871e-11,0,0.3341812,1.570796,5.529327,0,0,1.97388e-15
0.2,-1.185141e-11,0,0.3703031,1.570796,5.529396,0,0,2.077858e-15
0.21,-1.244403e-11,0,0.4082804,1.570796,5.529465,0,0,2.18184e-15
0.22,-1.303655e-11,0,0.4481133,1.570796,5.529534,0,0,2.285825e-15
0.23,-1.362899e-11,0,0.4898022,1.570796,5.529603,0,0,2.389813e-15
0.24,-1.422134e-11,0,0.5333472,1.570796,5.529671,0,0,2.493802e-15
0.25,-1.48136e-11,0,0.5787488,1.570796,5.52974,0,0,2.597793e-15
0.26,-1.540576e-11,0,0.6260071,1.570796,5.529809,0,0,2.701783e-15
0.27,-1.599783e-11,0,0.6751226,1.570796,5.529878,0,0,2.805772e-15
0.28,-1.658981e-11,0,0.7260954,1.570796,5.529947,0,0,2.90976e-15
0.29,-1.718169e-11,0,0.7789258,1.570796,5.530015,0,0,3.013745e-15
0.3,-1.777347e-11,0,0.8336142,1.570796,5.530084,0,0,3.117727e-15
0.31,-1.836515e-11,0,0.8901608,1.570796,5.530153,0,0,3.221705e-15
0.32,-1.895674e-11,0,0.9485659,1.570796,5.530221,0,0,3.325687e-15
0.33,-1.954822e-11,0,1.00883,1.570796,5.53029,0,0,3.429669e-15
0.34,-2.013961e-11,0,1.070953,1.570796,5.530359,0,0,3.533644e-15
0.35,-2.073089e-11,0,1.134935,1.570796,5.530427,0,0,3.637611e-15
0.36,-2.132207e-11,0,1.200777,1.570796,5.530496,0,0,3.741571e-15
0.37,-2.191314e-11,0,1.268479,1.570796,5.530565,0,0,3.845522e-15
0.38,-2.250411e-11,0,1.338041,1.570796,5.530633,0,0,3.949463e-15
0.39,-2.309497e-11,0,1.409463,1.570796,5.530702,0,0,4.053394e-15
0.4,-2.368572e-11,0,1.482747,1.570796,5.530771,0,0,4.157314e-15
0.41,-2.427636e-11,0,1.557891,1.570796,5.530839,0,0,4.261223e-15
0.42,-2.486689e-11,0,1.634897,1.570796,5.530908,0,0,4.365119e-15
0.43,-2.545732e-11,0,1.713764,1.570796,5.530976,0,0,4.469004e-15
0.44,-2.604762e-11,0,1.794493,1.570796,5.531045,0,0,4.572876e-15
0.45,-2.663782e-11,0,1.877085,1.570796,5.531113,0,0,4.676732e-15
0.46,-2.72279e-11,0,1.961539,1.570796,5.531182,0,0,4.780576e-15
0.47,-2.781787e-11,0,2.047855,1.570796,5.53125,0,0,4.884404e-15
0.48,-2.840772e-11,0,2.136035,1.570796,5.531319,0,0,4.988216e-15
0.49,-2.899745e-11,0,2.226078,1.570796,5.531387,0,0,5.092013e-15
0.5,-2.958706e-11,0,2.317985,1.570796,5.531456,0,0,-2.29402e-06
0.51,-1.03368e-07,0,2.411755,1.570783,5.531524,0,0,-9.299592e-05
0.52,-4.250315e-07,0,2.50739,1.570737,5.531592,0,0,-9.685458e-05
0.53,-8.460086e-07,0,2.604889,1.570658,5.531661,0,0,-0.0001008391
0.54,-1.154329e-06,0,2.704252,1.570547,5.531729,0,0,-0.000104933
0.55,-1.04654e-06,0,2.805481,1.570404,5.531797,0,0,-0.0001091317
0.56,-1.285108e-07,0,2.908576,1.57023,5.531866,0,0,-0.0001134311
0.57,2.08377e-06,0,3.013535,1.570024,5.531934,0,0,-0.0001178267
0.58,6.16341e-06,0,3.120361,1.569787,5.532002,0,0,-0.0001223141
0.59,1.277183e-05,0,3.229052,1.56952,5.532071,0,0,-0.0001268889
0.6,2.265799e-05,0,3.33961,1.569222,5.532139,0,0,-0.000131547
0.61,3.665764e-05,0,3.452035,1.568894,5.532207,0,0,-0.0001362837
0.62,5.56925e-05,0,3.566326,1.568536,5.532276,0,0,-0.0001410947
0.63,8.076961e-05,0,3.682485,1.568148,5.532344,0,0,-0.0001459758
0.64,0.0001129805,0,3.800512,1.567731,5.532412,0,0,-0.0001509224
0.65,0.0001535005,0,3.920406,1.567285,5.53248,0,0,-0.0001559302
0.66,0.000203588,0,4.042168,1.566811,5.532548,0,0,-0.0001609949
0.67,0.0002645836,0,4.165799,1.566307,5.532617,0,0,-0.000166112
0.68,0.0003379097,0,4.291298,1.565776,5.532685,0,0,-0.000171277
0.69,0.0004250694,0,4.418666,1.565216,5.532753,0,0,-0.0001764859
0.7,0.0005276463,0,4.547903,1.564629,5.532821,0,0,-0.000181734
0.71,0.0006473031,0,4.67901,1.564014,5.532889,0,0,-0.0001870168
0.72,0.0007857817,0,4.811986,1.563372,5.532957,0,0,-0.0001923304
0.73,0.0009449017,0,4.946833,1.562703,5.533025,0,0,-0.00019767
0.74,0.00112656,0,5.083549,1.562008,5.533093,0,0,-0.0002030313
0.75,0.001332732,0,5.222136,1.561285,5.533161,0,0,-0.0002084101
0.76,0.001565467,0,5.362594,1.560537,5.533229,0,0,-0.0002138018
0.77,0.00182689,0,5.504923,1.559762,5.533298,0,0,-0.000219202
0.78,0.002119203,0,5.649123,1.558962,5.533365,0,0,-0.0002246067
0.79,0.002444679,0,5.795194,1.558137,5.533433,0,0,-0.0002300113
0.8,0.002805666,0,5.943138,1.557286,5.533501,0,0,-0.0002354111
0.81,0.003204586,0,6.092953,1.55641,5.533569,0,0,-0.0002408026
0.82,0.003643932,0,6.244641,1.555509,5.533637,0,0,-0.0002461806
0.83,0.004126268,0,6.398201,1.554584,5.533705,0,0,-0.0002515411
0.84,0.004654231,0,6.553634,1.553634,5.533773,0,0,-0.0002568799
0.85,0.005230526,0,6.71094,1.55266,5.533841,0,0,-0.0002621923
0.86,0.005857929,0,6.870119,1.551662,5.533909,0,0,-0.0002674742
0.87,0.006539286,0,7.031171,1.550641,5.533977,0,0,-0.0002727215
0.88,0.007277509,0,7.194098,1.549596,5.534044,0,0,-0.0002779295
0.89,0.008075582,0,7.358898,1.548528,5.534112,0,0,-0.0002830938
0.9,0.008936552,0,7.525572,1.547437,5.53418,0,0,-0.0002882109
0.91,0.009863536,0,7.69412,1.546323,5.534248,0,0,-0.0002932756
0.92,0.01085971,0,7.864543,1.545186,5.534316,0,0,-0.0002982837
0.93,0.01192834,0,8.036841,1.544027,5.534383,0,0,-0.0003032316
0.94,0.01307272,0,8.211014,1.542846,5.534451,0,0,-0.0003081144
0.95,0.01429623,0,8.387061,1.541643,5.534519,0,0,-0.0003129278
0.96,0.01560232,0,8.564984,1.540418,5.534586,0,0,-0.0003176682
0.97,0.01699448,0,8.744783,1.539171,5.534654,0,0,-0.0003223307
0.98,0.0184763,0,8.926457,1.537903,5.534722,0,0,-0.0003269111
0.99,0.02005139,0,9.110007,1.536614,5.53479,0,0,-0.0003314058
1,0.02172345,0,9.295433,1.535304,5.534857,0,0,-0.0003358099
1.01,0.02349623,0,9.482735,1.533973,5.534925,0,0,-0.000340119
1.02,0.02537355,0,9.671913,1.532622,5.534992,0,0,-0.00034433
1.03,0.02735928,0,9.862968,1.53125,5.53506,0,0,-0.0003484377
