time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
0,0,0,0,1.570796,5.528015,0,0,0,0.8638696
0.0167,-8.38578e-13,0,0.002041832,1.570796,5.528131,0,0,3.048207e-17,0.8638696
0.0334,-1.69564e-12,0,0.008168106,1.570796,5.528246,0,0,2.974379e-17,0.8638697
0.0501,-2.557844e-12,0,0.01837999,1.570796,5.528362,0,0,2.955397e-17,0.8638699
0.0668,-3.425255e-12,0,0.03267865,1.570796,5.528477,0,0,2.936062e-17,0.8638701
0.0835,-4.29794e-12,0,0.05106526,1.570796,5.528593,0,0,2.917274e-17,0.8638704
0.1002,-5.175966e-12,0,0.07354099,1.570796,5.528708,0,0,2.898264e-17,0.8638708
0.1169,-6.059396e-12,0,0.100107,1.570796,5.528823,0,0,2.879527e-17,0.8638712
0.1336,-6.948297e-12,0,0.1307644,1.570796,5.528938,0,0,2.860848e-17,0.8638718
0.1503,-7.842733e-12,0,0.1655145,1.570796,5.529053,0,0,2.842376e-17,0.8638723
0.167,-8.742772e-12,0,0.2043584,1.570796,5.529169,0,0,2.824066e-17,0.8638729
0.1837,-9.648476e-12,0,0.2472972,1.570796,5.529284,0,0,2.805652e-17,0.8638737
0.2004,-1.055991e-11,0,0.2943321,1.570796,5.529399,0,0,2.78771e-17,0.8638744
0.2171,-1.147714e-11,0,0.3454643,1.570796,5.529513,0,0,2.769409e-17,0.8638753
0.2338,-1.240024e-11,0,0.4006949,1.570796,5.529629,0,0,2.751667e-17,0.8638762
0.2505,-1.332925e-11,0,0.4600251,1.570796,5.529744,0,0,2.73368e-17,0.8638771
0.2672,-1.426426e-11,0,0.5234562,1.570796,5.529858,0,0,2.715939e-17,0.8638781
0.2839,-1.520532e-11,0,0.5909891,1.570796,5.529974,0,0,2.698307e-17,0.8638793
0.3006,-1.615249e-11,0,0.6626252,1.570796,5.530088,0,0,2.680834e-17,0.8638805
0.3173,-1.710585e-11,0,0.7383655,1.570796,5.530203,0,0,2.663575e-17,0.8638816
0.334,-1.806545e-11,0,0.8182113,1.570796,5.530318,0,0,2.646121e-17,0.863883
0.3507,-1.903136e-11,0,0.9021636,1.570796,5.530432,0,0,2.629131e-17,0.8638843
0.3674,-2.000364e-11,0,0.9902237,1.570796,5.530547,0,0,2.611844e-17,0.8638858
0.3841,-2.098235e-11,0,1.082393,1.570796,5.530662,0,0,2.5949e-17,0.8638873
