time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0,0,0,0,1.22173,5.528015,0,0,0
0.01,0.0004842513,0,0.0008394545,1.22173,5.528084,0,0,-6.602663e-08
0.02,0.001937071,0,0.003358,1.22173,5.528153,0,0,-2.495775e-07
0.03,0.004358558,0,0.007555909,1.22173,5.528223,0,0,-5.55908e-07
0.04,0.007748808,0,0.01343345,1.22173,5.528292,0,0,-9.850564e-07
0.05,0.01210792,0,0.02099091,1.22173,5.528361,0,0,-1.53706e-06
0.06,0.01743599,0,0.03022855,1.22173,5.52843,0,0,-2.211954e-06
0.07,0.02373311,0,0.04114665,1.22173,5.528499,0,0,-3.009776e-06
0.08,0.03099938,0,0.05374547,1.22173,5.528568,0,0,-3.930561e-06
0.09,0.03923489,0,0.0680253,1.22173,5.528637,0,0,-4.974342e-06
0.1,0.04843974,0,0.0839864,1.22173,5.528706,0,0,-6.141153e-06
0.11,0.05861401,0,0.101629,1.22173,5.528775,0,0,-7.431029e-06
0.12,0.0697578,0,0.1209535,1.22173,5.528844,0,0,-8.844001e-06
0.13,0.0818712,0,0.1419601,1.22173,5.528913,0,0,-1.03801e-05
0.14,0.09495431,0,0.164649,1.22173,5.528982,0,0,-1.203936e-05
0.15,0.1090072,0,0.1890206,1.22173,5.529051,0,0,-1.382181e-05
0.16,0.12403,0,0.2150751,1.22173,5.52912,0,0,-1.572748e-05
0.17,0.1400227,0,0.2428128,1.22173,5.529189,0,0,-1.775639e-05
0.18,0.1569855,0,0.2722339,1.22173,5.529258,0,0,-1.990859e-05
0.19,0.1749185,0,0.3033388,1.22173,5.529327,0,0,-2.218408e-05
0.2,0.1938216,0,0.3361277,1.22173,5.529396,0,0,-2.458291e-05
0.21,0.2136951,0,0.3706009,1.22173,5.529465,0,0,-2.71051e-05
0.22,0.234539,0,0.4067586,1.22173,5.529534,0,0,-2.975067e-05
0.23,0.2563533,0,0.4446012,1.22173,5.529603,0,0,-3.251965e-05
0.24,0.2791383,0,0.4841289,1.22173,5.529671,0,0,-3.541206e-05
0.25,0.3028938,0,0.5253419,1.22173,5.52974,0,0,-3.842793e-05
0.26,0.3276201,0,0.5682406,1.22173,5.529809,0,0,-4.156728e-05
