time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
0,0,0,0,1.570796,5.528015,0,0,0,1
0.0167,-4.91677e-13,0,0.00257938,1.570796,5.528131,0,0,6.727609e-17,1
0.0334,-9.876688e-13,0,0.01031842,1.570796,5.528246,0,0,1.746187e-16,1
0.0501,-1.48356e-12,0,0.02321847,1.570796,5.528362,0,0,2.608341e-16,1
0.0668,-1.979348e-12,0,0.04128088,1.570796,5.528477,0,0,3.473468e-16,1
0.0835,-2.475031e-12,0,0.064507,1.570796,5.528593,0,0,4.339861e-16,1
0.1002,-2.970605e-12,0,0.09289818,1.570796,5.528708,0,0,5.20694e-16,1
0.1169,-3.466068e-12,0,0.1264557,1.570796,5.528823,0,0,6.074448e-16,1
0.1336,-3.961418e-12,0,0.1651811,1.570796,5.528938,0,0,6.942246e-16,1
0.1503,-4.456651e-12,0,0.2090755,1.570796,5.529053,0,0,7.810254e-16,1
0.167,-4.951766e-12,0,0.2581403,1.570796,5.529169,0,0,8.678416e-16,1
0.1837,-5.446759e-12,0,0.3123769,1.570796,5.529284,0,0,9.54669e-16,1
0.2004,-5.941628e-12,0,0.3717866,1.570796,5.529399,0,0,1.041505e-15,1
0.2171,-6.43637e-12,0,0.4363707,1.570796,5.529513,0,0,1.128345e-15,1
0.2338,-6.930983e-12,0,0.5061306,1.570796,5.529629,0,0,1.215189e-15,1
0.2505,-7.425464e-12,0,0.5810676,1.570796,5.529744,0,0,1.302034e-15,1
0.2672,-7.919811e-12,0,0.6611831,1.570796,5.529858,0,0,1.388878e-15,1
0.2839,-8.414019e-12,0,0.7464783,1.570796,5.529974,0,0,1.475719e-15,1
0.3006,-8.90809e-12,0,0.8369546,1.570796,5.530088,0,0,1.562554e-15,1
0.3173,-9.402016e-12,0,0.9326133,1.570796,5.530203,0,0,1.649386e-15,1
0.334,-9.895799e-12,0,1.033456,1.570796,5.530318,0,0,1.736219e-15,1
0.3507,-1.038943e-11,0,1.139483,1.570796,5.530432,0,0,1.823041e-15,1
0.3674,-1.088292e-11,0,1.250697,1.570796,5.530547,0,0,1.90985e-15,1
0.3841,-1.137625e-11,0,1.367099,1.570796,5.530662,0,0,1.996646e-15,1
0.4008,-1.186943e-11,0,1.48869,1.570796,5.530776,0,0,2.083425e-15,1
0.4175,-1.236244e-11,0,1.615471,1.570796,5.53089,0,0,2.170188e-15,1
0.4342,-1.28553e-11,0,1.747444,1.570796,5.531005,0,0,2.256932e-15,1
0.4509,-1.3348e-11,0,1.884609,1.570796,5.531119,0,0,2.343657e-15,1
0.4676,-1.384053e-11,0,2.026969,1.570796,5.531234,0,0,2.43036e-15,1
