time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0,0,0,0,1.570796,5.528015,0,0,0
0.01,1.339609e-13,0,0.0002169129,1.570796,5.528084,0,0,-3.069431e-09
0.02,6.497966e-14,0,0.0008677486,1.570796,5.528153,0,0,-4.586604e-09
0.03,-1.953294e-13,0,0.001952652,1.570796,5.528223,0,0,-3.762918e-11
0.04,-4.675761e-13,0,0.003471769,1.570796,5.528292,0,0,3.04148e-09
0.05,-6.540937e-13,0,0.005425245,1.570796,5.528361,0,0,1.40467e-09
0.06,-8.299518e-13,0,0.007813224,1.570796,5.52843,0,0,-1.392554e-09
0.07,-1.094159e-12,0,0.01063585,1.570796,5.528499,0,0,-1.567873e-09
0.08,-1.441198e-12,0,0.01389328,1.570796,5.528568,0,0,2.201886e-10
0.09,-1.802114e-12,0,0.01758564,1.570796,5.528637,0,0,1.146253e-09
0.1,-2.149072e-12,0,0.02171309,1.570796,5.528706,0,0,3.706027e-10
0.11,-2.515261e-12,0,0.02627577,1.570796,5.528775,0,0,-5.983781e-10
0.12,-2.934006e-12,0,0.03127382,1.570796,5.528844,0,0,-5.173156e-10
0.13,-3.397865e-12,0,0.0367074,1.570796,5.528913,0,0,1.668597e-10
0.14,-3.880902e-12,0,0.04257664,1.570796,5.528982,0,0,4.208376e-10
0.15,-4.376115e-12,0,0.0488817,1.570796,5.529051,0,0,7.765076e-11
0.16,-4.89741e-12,0,0.05562272,1.570796,5.52912,0,0,-2.465145e-10
0.17,-5.455449e-12,0,0.06279983,1.570796,5.529189,0,0,-1.625542e-10
0.18,-6.045436e-12,0,0.0704132,1.570796,5.529258,0,0,9.202953e-11
0.19,-6.657791e-12,0,0.07846296,1.570796,5.529327,0,0,1.499926e-10
0.2,-7.291143e-12,0,0.08694927,1.570796,5.529396,0,0,5.5387e-12
0.21,-7.951017e-12,0,0.09587225,1.570796,5.529465,0,0,-9.79263e-11
0.22,-8.640525e-12,0,0.1052321,1.570796,5.529534,0,0,-4.745167e-11
0.23,-9.357077e-12,0,0.1150289,1.570796,5.529603,0,0,4.440543e-11
0.24,-1.009716e-11,0,0.1252628,1.570796,5.529671,0,0,5.158824e-11
0.25,-1.086067e-11,0,0.135934,1.570796,5.52974,0,0,-6.767133e-12
0.26,-1.164964e-11,0,0.1470426,1.570796,5.529809,0,0,-3.75819e-11
0.27,-1.246477e-11,0,0.1585887,1.570796,5.529878,0,0,-1.217419e-11
0.28,-1.330476e-11,0,0.1705726,1.570796,5.529947,0,0,1.978966e-11
0.29,-1.416826e-11,0,0.1829943,1.570796,5.530015,0,0,1.694932e-11
0.3,-1.50553e-11,0,0.195854,1.570796,5.530084,0,0,-5.756231e-12
0.31,-1.596654e-11,0,0.2091519,1.570796,5.530153,0,0,-1.392023e-11
0.32,-1.690199e-11,0,0.222888,1.570796,5.530221,0,0,-2.29772e-12
0.33,-1.786095e-11,0,0.2370626,1.570796,5.53029,0,0,8.328084e-12
0.34,-1.884285e-11,0,0.2516758,1.570796,5.530359,0,0,5.222981e-12
0.35,-1.984763e-11,0,0.2667276,1.570796,5.530427,0,0,-3.285946e-12
0.36,-2.087542e-11,0,0.2822184,1.570796,5.530496,0,0,-4.956182e-12
0.37,-2.192601e-11,0,0.2981482,1.570796,5.530565,0,0,2.460345e-14
0.38,-2.299903e-11,0,0.3145171,1.570796,5.530633,0,0,3.341694e-12
0.39,-2.409417e-11,0,0.3313253,1.570796,5.530702,0,0,1.453594e-12
0.4,-2.52113e-11,0,0.348573,1.570796,5.530771,0,0,-1.607321e-12
0.41,-2.635032e-11,0,0.3662603,1.570796,5.530839,0,0,-1.682493e-12
0.42,-2.751105e-11,0,0.3843873,1.570796,5.530908,0,0,3.436921e-13
0.43,-2.869316e-11,0,0.4029543,1.570796,5.530976,0,0,1.282648e-12
0.44,-2.989646e-11,0,0.4219612,1.570796,5.531045,0,0,3.305135e-13
0.45,-3.112081e-11,0,0.4414084,1.570796,5.531113,0,0,-7.184061e-13
0.46,-3.236605e-11,0,0.4612959,1.570796,5.531182,0,0,-5.361006e-13
0.47,-3.363194e-11,0,0.4816238,1.570796,5.53125,0,0,2.500028e-13
0.48,-3.491822e-11,0,0.5023924,1.570796,5.531319,0,0,4.703094e-13
0.49,-3.622468e-11,0,0.5236018,1.570796,5.531387,0,0,3.666938e-14
0.5,-3.755121e-11,0,0.545252,1.570796,5.531456,0,0,-3.003565e-13
0.51,-3.889764e-11,0,0.5673434,1.570796,5.531524,0,0,-1.545453e-13
0.52,-4.026377e-11,0,0.5898759,1.570796,5.531592,0,0,1.354934e-13
0.53,-4.164939e-11,0,0.6128498,1.570796,5.531661,0,0,1.629134e-13
0.54,-4.305428e-11,0,0.6362652,1.570796,5.531729,0,0,-2.049082e-14
0.55,-4.447824e-11,0,0.6601222,1.570796,5.531797,0,0,-1.181548e-13
0.56,-4.592108e-11,0,0.684421,1.570796,5.531866,0,0,-3.671158e-14
0.57,-4.738256e-11,0,0.7091618,1.570796,5.531934,0,0,6.426565e-14
0.58,-4.886249e-11,0,0.7343445,1.570796,5.532002,0,0,5.293478e-14
0.59,-5.036065e-11,0,0.7599697,1.570796,5.532071,0,0,-1.994728e-14
0.6,-5.187683e-11,0,0.7860371,1.570796,5.532139,0,0,-4.357522e-14
0.61,-5.341082e-11,0,0.812547,1.570796,5.532207,0,0,-4.499351e-15
0.62,-5.496241e-11,0,0.8394997,1.570796,5.532276,0,0,2.828575e-14
0.63,-5.653138e-11,0,0.8668951,1.570796,5.532344,0,0,1.606037e-14
0.64,-5.811751e-11,0,0.8947335,1.570796,5.532412,0,0,-1.121137e-14
0.65,-5.972066e-11,0,0.923015,1.570796,5.53248,0,0,-1.504382e-14
0.66,-6.134097e-11,0,0.9517398,1.570796,5.532548,0,0,1.970022e-15
0.67,-6.297847e-11,0,0.9809079,1.570796,5.532617,0,0,1.213913e-14
0.68,-6.4633e-11,0,1.01052,1.570796,5.532685,0,0,4.842659e-15
0.69,-6.630439e-11,0,1.040575,1.570796,5.532753,0,0,-5.029657e-15
0.7,-6.799247e-11,0,1.071074,1.570796,5.532821,0,0,-4.190064e-15
0.71,-6.969705e-11,0,1.102018,1.570796,5.532889,0,0,2.95688e-15
0.72,-7.141797e-11,0,1.133405,1.570796,5.532957,0,0,5.548222e-15
0.73,-7.315504e-11,0,1.165236,1.570796,5.533025,0,0,1.942377e-15
0.74,-7.490808e-11,0,1.197513,1.570796,5.533093,0,0,-1.207825e-15
0.75,-7.667692e-11,0,1.230233,1.570796,5.533161,0,0,3.317868e-17
